# Recipe corpus. Nutrition is COMPUTED from ingredients + cooked yield, never typed.
# name|hindi|category|region|diet|class|servings|serving_unit|ingredients|steps|prep|cook|tags
# Drop additional corpora into data/recipes.d/*.psv using the same header order.
Dal Tadka|दाल तड़का|North Indian|north|veg|legume|4|bowl|150g toor dal; 400g water; 100g onion; 120g tomato; 10g garlic; 8g ginger; 20g ghee; 3g cumin seed; 3g turmeric; 5g salt; 10g coriander leaves|Pressure cook dal with turmeric and salt; Heat ghee and crackle cumin; Fry onion garlic ginger till golden; Add tomato and cook till soft; Pour tempering over dal and simmer; Finish with coriander|10|25|everyday,comfort
Dal Fry|दाल फ्राई|North Indian|north|veg|legume|4|bowl|150g toor dal; 400g water; 120g onion; 120g tomato; 12g garlic; 25g sunflower oil; 3g cumin seed; 4g garam masala; 5g salt; 10g coriander leaves|Boil dal till soft; Fry onions till brown; Add tomato and spices; Combine with dal and simmer|10|25|restaurant
Dal Makhani|दाल मखनी|Punjabi|north|veg|legume|4|bowl|120g urad dal; 40g rajma; 500g water; 100g tomato; 10g garlic; 8g ginger; 40g butter; 60g cream; 4g garam masala; 5g salt|Soak dal and rajma overnight; Pressure cook till very soft; Simmer with tomato puree for an hour; Finish with butter and cream|480|90|restaurant,creamy
Rajma Masala|राजमा मसाला|Punjabi|north|veg|legume|4|bowl|180g rajma; 500g water; 120g onion; 150g tomato; 12g garlic; 10g ginger; 30g sunflower oil; 5g garam masala; 4g red chili powder; 6g salt|Soak rajma overnight and pressure cook; Make onion tomato masala; Simmer rajma in masala till thick|480|45|comfort,protein
Chole Masala|छोले मसाला|Punjabi|north|veg|legume|4|bowl|180g kabuli chana; 500g water; 130g onion; 150g tomato; 12g garlic; 10g ginger; 30g sunflower oil; 6g garam masala; 5g coriander powder; 6g salt|Soak chana overnight; Pressure cook with tea bag for colour; Cook onion tomato masala; Simmer together|480|40|festival
Sambar|சாம்பார்|South Indian|south|veg|legume|5|bowl|120g toor dal; 500g water; 150g bottle gourd; 100g onion; 100g tomato; 30g tamarind; 20g coconut oil; 5g mustard seed; 15g curry leaves; 6g salt; 4g turmeric|Cook dal till mushy; Boil vegetables with tamarind extract; Combine and add sambar powder; Temper with mustard and curry leaves|15|30|everyday,tamil
Rasam|ரசம்|South Indian|south|veg|soup|4|bowl|40g toor dal; 600g water; 120g tomato; 30g tamarind; 10g ghee; 4g cumin seed; 4g mustard seed; 10g curry leaves; 8g garlic; 4g salt|Extract tamarind water; Boil with tomato and rasam powder; Add cooked dal water; Temper and finish|10|20|light,digestive
Palak Paneer|पालक पनीर|Punjabi|north|veg|dairy|4|bowl|300g spinach; 200g paneer; 100g onion; 80g tomato; 12g garlic; 8g ginger; 25g ghee; 40g cream; 4g garam masala; 5g salt|Blanch and puree spinach; Saute onion garlic ginger; Add puree and simmer; Fold in paneer cubes and cream|15|20|restaurant,iron
Paneer Butter Masala|पनीर बटर मसाला|Punjabi|north|veg|dairy|4|bowl|250g paneer; 250g tomato; 80g onion; 30g cashew; 40g butter; 60g cream; 10g garlic; 8g ginger; 5g garam masala; 6g salt; 10g sugar|Boil tomato onion cashew and blend; Cook the puree in butter; Add spices sugar and cream; Add paneer and simmer|15|25|restaurant,creamy
Matar Paneer|मटर पनीर|Punjabi|north|veg|dairy|4|bowl|200g paneer; 150g green peas; 150g tomato; 100g onion; 25g sunflower oil; 10g garlic; 8g ginger; 5g garam masala; 6g salt; 30g curd|Fry paneer lightly; Make onion tomato masala; Add peas and simmer; Add paneer and curd|10|25|everyday
Kadai Paneer|कड़ाही पनीर|Punjabi|north|veg|dairy|4|bowl|250g paneer; 120g capsicum; 120g onion; 150g tomato; 25g sunflower oil; 10g garlic; 6g coriander powder; 5g garam masala; 6g salt|Dry roast coriander and chili for kadai masala; Saute onion and capsicum; Add tomato and masala; Toss paneer through|10|20|restaurant
Aloo Gobi|आलू गोभी|North Indian|north|veg|vegetable|4|bowl|250g potato; 300g cauliflower; 100g onion; 100g tomato; 25g sunflower oil; 4g cumin seed; 4g turmeric; 5g coriander powder; 5g salt|Fry cumin in oil; Add potato and cauliflower; Add onion tomato and spices; Cover and cook till tender|10|25|everyday
Bhindi Masala|भिंडी मसाला|North Indian|north|veg|vegetable|4|bowl|350g okra; 120g onion; 100g tomato; 30g sunflower oil; 4g cumin seed; 4g coriander powder; 4g turmeric; 5g salt|Wash and dry okra fully; Shallow fry till slime is gone; Add onion tomato and spices; Cook uncovered|10|20|everyday
